_id,entry_id,object_id,name,description,type,project_stage,year_implemented,partners,idea_description,collector,source,photos,need_volunteers,need_funding,need_site_access,need_design,need_materials,need_volunteers_2,need_funding_2,need_materials_2,need_tools2,address,location,municipality,latitude,longitude
11,5564781f90b16f03006753d2,0382A00110000000,Bee & Butterfly Trail Garden,"This site's proximity to the Great Allegheny Passage makes it ideal for a garden full of Pennsylvania native plants that attract birds, bees and other wildlife. This site is ReClaim Ambassador Julie's project. ReClaim McKeesport is a program of GTECH Strategies. For more information, please visit us at https://gtechstrategies.org/projects/reclaim-mckeesport/",,A-project-that-is-in-progress-,,,,GTECH Strategies,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-5-26-unknown-location-7m30bl9.jpg | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-5-26-unknown-location-7n40bix.JPG | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-5-26-unknown-location-7o50bsm.jpg,f,f,f,f,f,t,f,f,f,Unknown Location,,,40.3446023633781,-79.8650468995008
12,5612b2d05c538a03009b04e1,0382A00110000000,Great Allegheny Passage Trail Garden,ReClaim McKeesport Ambassador Julie created a trail garden full of bee-and-butterfly-attracting plants! ,Trail--Pathway,A-project-that-has-been-implemented-,2015,"Youth CAST, McKeesport Trail Commission",,GTECH Strategies,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-10-5-unknown-location-sm20qhl.jpg,f,f,f,f,f,f,f,f,f,Unknown Location,Municipality,McKeesport,40.3446023633781,-79.8650468995008
13,5522f700c4433f0300c74fd6,0307G00395000909,,,,An-idea-for-a-lot,,,"Bee & Butterfly Trail Garden. This site's proximity to the Great Allegheny Passage makes it ideal for a garden full of Pennsylvania native plants that attract birds, bees and other wildlife. This site is ReClaim Ambassador Julie's project. ReClaim McKeesport is a program of GTECH Strategies. For more information, please visit us at https://gtechstrategies.org/projects/reclaim-mckeesport/",GTECH,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-6-unknown-location-ao303y8.pdf | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-6-unknown-location-ao2031t.png,t,f,f,t,t,f,f,f,f,Unknown Location,,,40.3448615542137,-79.8649984060053
14,556478223a54c40300358e1e,0307G00395000909,Bee & Butterfly Trail Garden,"This site's proximity to the Great Allegheny Passage makes it ideal for a garden full of Pennsylvania native plants that attract birds, bees and other wildlife. This site is ReClaim Ambassador Julie's project. ReClaim McKeesport is a program of GTECH Strategies. For more information, please visit us at https://gtechstrategies.org/projects/reclaim-mckeesport/",,A-project-that-is-in-progress-,,,,GTECH Strategies,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-5-26-unknown-location-gj10qwq.JPG | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-5-26-unknown-location-g800qao.jpg | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-5-26-unknown-location-gj20qdp.jpg,f,f,f,f,f,t,f,f,f,Unknown Location,,,40.3448615542137,-79.8649984060053
15,5612b2d05c538a03009b04df,0307G00395000909,Great Allegheny Passage Trail Garden,ReClaim McKeesport Ambassador Julie created a trail garden full of bee-and-butterfly-attracting plants! ,Trail--Pathway,A-project-that-has-been-implemented-,2015,"Youth CAST, McKeesport Trail Commission",,GTECH Strategies,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-10-5-unknown-location-ql10qgy.jpg,f,f,f,f,f,f,f,f,f,Unknown Location,Municipality,McKeesport,40.3448615542137,-79.8649984060053
16,552573a87a692b0300cef5cb,0307R00187000000,,,,An-idea-for-a-lot,,,"ReClaim McKeesport Ambassador Shari would like to turn this into a beautiful gateway to the Library District in McKeesport. For more information, visit us at https://gtechstrategies.org/projects/reclaim-mckeesport/.  ",GTECH,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-8-1424--versailles-ave-mckeesport-3010mgs.jpg | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-8-1424--versailles-ave-mckeesport-2z00mby.jpeg,t,t,f,f,t,f,f,f,f,1424  VERSAILLES AVE MCKEESPORT,,,40.3465554108786,-79.8560725876786
17,55647c3590b16f03006753d6,0307R00187000000,Library District Gateway Garden,"ReClaim McKeesport Ambassador Shari would like to turn this into a beautiful gateway to the Library District in McKeesport. For more information, visit us at https://gtechstrategies.org/projects/reclaim-mckeesport/.",,A-project-that-is-in-progress-,,,,GTECH Strategies,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-5-26-1424--versailles-ave-mckeesport-7va0b6g.jpg | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-5-26-1424--versailles-ave-mckeesport-7v90buv.jpg | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-5-26-1424--versailles-ave-mckeesport-7vb0bh5.jpg,f,f,f,f,f,t,f,f,f,1424  VERSAILLES AVE MCKEESPORT,,,40.3465554108786,-79.8560725876786
18,558d6f70ca43f40300485c8d,0307R00187000000,,,,A-project-that-is-in-progress-,,,,Jibran,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-6-26-1424--versailles-ave-mckeesport-xqf0ve4.jpg,f,f,f,f,f,f,f,f,f,1424  VERSAILLES AVE MCKEESPORT,,,40.3465554108786,-79.8560725876786
19,5612cffb262a280300867fea,0307R00187000000,Library District Gateway Garden,"ReClaim McKeesport Ambassador Shari has created a gateway garden to McKeesport's library district. The site of a demolished vacant home, Shari's garden is warm and welcoming, and can be utilized by anyone - especially the Little Free Library on site!",Park--Parklet,A-project-that-has-been-implemented-,2015,"Tube City Renaissance, Carnegie Library of McKeesport",,GTECH Strategies,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-10-5-1424--versailles-ave-mckeesport-h5s0cfj.jpg,f,f,f,f,f,f,f,f,f,1424  VERSAILLES AVE MCKEESPORT,Municipality,McKeesport ,40.3465554108786,-79.8560725876786
20,5525745b801da90300e44f73,0382G00387000000,,,,An-idea-for-a-lot,,,"ReClaim McKeesport Ambassador Kim would like to turn this corner lot into a beautiful gateway garden and children's playspace. For more information, visit us at https://gtechstrategies.org/projects/reclaim-mckeesport/.  ",GTECH,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-8-1442--grant-st-mckeesport-y710h91.pdf | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-8-1442--grant-st-mckeesport-y600h8s.png,t,f,f,f,t,f,f,f,f,1442  GRANT ST MCKEESPORT,,,40.3415600401578,-79.8579010993763
21,556c693c31226003007345eb,0382G00387000000,Play in the Bouquet,"After asking her neighbors, she discovered that the residents would like to see a community gathering space and a safe place for youth to play. She strives to create that space for her community. As of now her site will also include seating, lighting and plenty of colorful flowers (thus the name of the space). Kim hopes to add pay equipment and a pavilion in the near future.",,A-project-that-is-in-progress-,,,,Jibran Ahmed,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-6-1-1442--grant-st-mckeesport-n9e0c7m.JPG | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-6-1-1442--grant-st-mckeesport-n9d0cdg.JPG | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-6-1-1442--grant-st-mckeesport-naf0cya.JPG,f,f,f,f,f,t,f,t,f,1442  GRANT ST MCKEESPORT,,,40.3415600401578,-79.8579010993763
22,5612c738262a280300867fe8,0382G00387000000,Play in the Bouquet,ReClaim McKeesport Ambassador Kim created a welcoming corner garden and picnic space in her neighborhood for the local kids to play and interact on. ,Park--Parklet,A-project-that-has-been-implemented-,2015,,,GTECH Strategies,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-10-5-1442--grant-st-mckeesport-34r0c7o.jpg,f,f,f,f,f,f,f,f,f,1442  GRANT ST MCKEESPORT,Municipality,McKeesport,40.3415600401578,-79.8579010993763
23,552574f4801da90300e44f75,0382G00225000000,,,,An-idea-for-a-lot,,,"ReClaim McKeesport Ambassador Dana would like to turn this into a community parklet and outdoor space. For more information, visit us at https://gtechstrategies.org/projects/reclaim-mckeesport/.  ",GTECH,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-8-unknown-location-5m20hrj.png | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-8-unknown-location-5m30hpf.pdf,f,t,f,f,t,f,f,f,f,Unknown Location,,,40.342008748985,-79.8566903366809
24,556c67678f8f9803007db0d0,0382G00225000000,Reservoir Retreat,"Dana is transforming a former reservoir site into a flourishing community space. The space will utilize recycled materials for seating and art pieces. She envisions her friends and neighbors using the space to have a picnic, walk their dogs or stroll alongside the flowers and trees.",,A-project-that-is-in-progress-,,,,Jibran Ahmed,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-6-1-unknown-location-yfl0oi6.jpg | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-6-1-unknown-location-ygm0ou8.JPG | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-6-1-unknown-location-yhn0oij.JPG,f,f,f,f,f,t,t,f,f,Unknown Location,,,40.342008748985,-79.8566903366809
25,558d6e44451da60300e1a988,0382G00225000000,Reservoir Retreat,https://gtechstrategies.org/projects/reservoir-retreat/,Park--Parklet,A-project-that-has-been-implemented-,2015,"The City of McKeesport, The McKeesport Area School District",,Jibran,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-6-26-unknown-location-y090q93.jpg,f,f,f,f,f,f,f,f,f,Unknown Location,,,40.342008748985,-79.8566903366809
26,5612cbb15c538a03009b051d,0382G00225000000,Reservoir Retreat,"ReClaim McKeesport Ambassador Dana has created a community space out of a vacant lot spanning 43,000 sq ft! With the addition of trees, a toolshed, garden beds, a path and a picnic area, the community is sure to get use out of this space.",Park--Parklet,A-project-that-has-been-implemented-,2015,,,GTECH Strategies,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-10-5-unknown-location-4l30qf8.jpg,f,f,f,f,f,f,f,f,f,Unknown Location,Municipality,McKeesport ,40.342008748985,-79.8566903366809
27,552575ce801da90300e44f77,0381P00180000000,,,,An-idea-for-a-lot,,,"ReClaim McKeesport Ambassador Rochelle would like to turn this into a beautiful gateway to the Meyer Park neighborhood in McKeesport. For more information, visit us at https://gtechstrategies.org/projects/reclaim-mckeesport/.  ",GTECH,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-8-2001--duquesne-ave-mckeesport-wo50hlm.pdf | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-8-2001--duquesne-ave-mckeesport-wo40hl5.png,t,t,f,f,t,f,f,f,f,2001  DUQUESNE AVE MCKEESPORT,,,40.3379940446469,-79.8448882941071
28,55257b63801da90300e44f79,0308M00129000000,,,,An-idea-for-a-lot,,,ReClaim McKeesport Ambassador Rhonda wants to turn this lot into a community gathering space. Find out more at https://gtechstrategies.org/projects/reclaim-mckeesport/,GTECH,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-8-626--market-st-mckeesport-0a60hl1.pdf,t,f,f,f,t,f,f,f,f,626  MARKET ST MCKEESPORT,,,40.3489082129732,-79.866591235957
29,5564761490b16f03006753d0,0308M00129000000,Noah's Ark Community Park,ReClaim McKeesport Ambassador Rhonda wants to turn this lot into a community gathering space. Find out more at https://gtechstrategies.org/projects/reclaim-mckeesport/,,A-project-that-is-in-progress-,,,,GTECH Strategies,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-5-26-626--market-st-mckeesport-0c10bki.JPG | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-5-26-626--market-st-mckeesport-0c20b01.JPG | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-5-26-626--market-st-mckeesport-yl00bgb.jpg,f,f,f,f,f,t,f,f,f,626  MARKET ST MCKEESPORT,,,40.3489082129732,-79.866591235957
30,5612b002262a280300867faa,0308M00129000000,Great Allegheny Passage Trail Garden,"ReClaim McKeesport Ambassador Julie built a beautiful trail garden along the new GAP route in McKeesport. Using native plants that will attract bees and butterflies, Julie reclaimed a vacant lot full of slag from an old mill.",Trail--Pathway,A-project-that-has-been-implemented-,2015,"McKeesport Trail Commission, Youth CAST",,GTECH Strategies,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-10-5-626--market-st-mckeesport-syo0caf.jpg,f,f,f,f,f,f,f,f,f,626  MARKET ST MCKEESPORT,Municipality,McKeesport,40.3489082129732,-79.866591235957
31,5612b1d9262a280300867fb6,0308M00129000000,Noah's Ark Community Park,"ReClaim McKeesport Ambassador Rhonda turned the site of the former Hitzrot House into a blossoming community park. With stump jumps and a picnic area, this park can be utilized in a variety of ways.",Park--Parklet,A-project-that-has-been-implemented-,2015,Bethlehem Baptist Church,,GTECH Strategies,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-10-5-626--market-st-mckeesport-a4p0car.jpg,f,f,f,f,f,f,f,f,f,626  MARKET ST MCKEESPORT,Municipality,McKeesport,40.3489082129732,-79.866591235957
32,55257be17a692b0300cef5cd,0308M00209000000,,,,An-idea-for-a-lot,,,ReClaim McKeesport Ambassador Sharon wants to turn this lot into an outdoor community gathering space. Find out more at https://gtechstrategies.org/projects/reclaim-mckeesport/,GTECH,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-8-unknown-location-ga20m0m.png | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-8-unknown-location-ga30mdy.pdf,t,f,f,f,t,f,f,f,f,Unknown Location,,,40.3503202555549,-79.8682973190575
33,5612aed95c538a03009b04cb,0308M00209000000,Palisades Butterfly Garden,ReClaim McKeesport Ambassador Sharon implemented a butterfly garden next to the McKeesport Palisades.,Flower-Garden,A-project-that-has-been-implemented-,2015,"The Palisades, McKeesport Lions Club, Trail Commission",,GTECH Strategies,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-10-5-unknown-location-q000qnz.jpg,f,f,f,f,f,f,f,f,f,Unknown Location,Municipality,McKeesport,40.3503202555549,-79.8682973190575
34,55257be17a692b0300cef5cf,0308M00208000000,,,,An-idea-for-a-lot,,,ReClaim McKeesport Ambassador Sharon wants to turn this lot into an outdoor community gathering space. Find out more at https://gtechstrategies.org/projects/reclaim-mckeesport/,GTECH,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-8-unknown-location-lc40mg4.png | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-8-unknown-location-lc50mj3.pdf,t,f,f,f,t,f,f,f,f,Unknown Location,,,40.3504213121735,-79.8683229748464
35,558d71afca43f40300485cab,0308M00208000000,Palisades Butterfly Garden,https://gtechstrategies.org/projects/palisades-butterfly-garden/,,A-project-that-is-in-progress-,,"The Kiwanis Club, The Lions Club, The Salvation Army, The Carnegie Library, McKeesport Heritage Center, McKeesport Trail Commission, The McKeesport Palisades, Women of Achievement Committee, The City of McKeesport, McKeesport School District",,Jibran,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-6-26-unknown-location-fwk0v7s.jpg,f,f,f,f,f,t,f,f,f,Unknown Location,,,40.3504213121735,-79.8683229748464
36,5612aeda262a280300867f9e,0308M00208000000,Palisades Butterfly Garden,ReClaim McKeesport Ambassador Sharon implemented a butterfly garden next to the McKeesport Palisades.,Flower-Garden,A-project-that-has-been-implemented-,2015,"The Palisades, McKeesport Lions Club, Trail Commission",,GTECH Strategies,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-10-5-unknown-location-pbn0c3v.jpg,f,f,f,f,f,f,f,f,f,Unknown Location,Municipality,McKeesport,40.3504213121735,-79.8683229748464
37,55257c39801da90300e44f7b,0307J00379000001,,,,An-idea-for-a-lot,,,ReClaim McKeesport Ambassador Walt wants to embrace McKeesport history and beautify this space. Find out more at https://gtechstrategies.org/projects/reclaim-mckeesport/,GTECH,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-8-unknown-location-xi70h9x.png | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-8-unknown-location-xm80hgw.jpg,t,f,f,f,t,f,f,f,f,Unknown Location,,,40.3498079816869,-79.8643637831
